flow_key,src_ip,dst_ip,src_port,dst_port,protocol,service,l7_proto,tls_detected,duration,fwd_pkt_count,bwd_pkt_count,total_packets,fwd_bytes,bwd_bytes,total_bytes,flow_pkt_rate,flow_byte_rate,pkt_len_mean,pkt_len_std,iat_mean,iat_max,mean_entropy,tcp_flags,dns_queries,http_methods,http_hosts,start_time,end_time
10.0.2.15:51782-13.107.226.68:443-TCP,13.107.226.68,10.0.2.15,443,51782,TCP,HTTPS,HTTPS,True,0.001633,1,3,4,54,237,291,2449.4795,178199.6326,72.75,29.64,0.000408,0.001107,5.5724,FIN|ACK|PSH,,,,1775036734.394,1775036734.396
10.0.2.15:46282-142.250.67.170:443-UDP,142.250.67.170,10.0.2.15,443,46282,UDP,HTTPS,HTTPS,False,12.634471,3,2,5,229,280,509,0.3957,40.2866,101.8,57.16,2.526894,12.64445,5.3124,,,,,1775036734.251,1775036746.886
10.0.2.15:48592-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,48592,53,UDP,DNS,DNS,False,0.003205,1,1,2,103,119,222,624.025,69266.7707,111,11.31,0.001602,0.003205,4.2542,,browser-intake-us5-datadoghq.com,,,1775036735.185,1775036735.188
10.0.2.15:39580-34.149.66.154:443-TCP,10.0.2.15,34.149.66.154,39580,443,TCP,HTTPS,HTTPS,True,0.323786,4,6,10,6216,512,6728,30.8846,20779.1566,672.8,1387.87,0.032379,0.320674,7.3992,ACK|PSH,,,,1775036735.187,1775036735.511
10.0.2.15:37654-142.250.70.78:443-UDP,10.0.2.15,142.250.70.78,37654,443,UDP,HTTPS,HTTPS,False,10.317874,10,7,17,6387,877,7264,1.6476,704.021,427.29,513.14,0.606934,9.463348,6.1352,,,,,1775036737.12,1775036747.438
10.0.2.15:53326-192.168.1.1:53-UDP,192.168.1.1,10.0.2.15,53,53326,UDP,DNS,DNS,False,-0.003227,1,1,2,86,102,188,2000000000.0,188000000000.0,94,11.31,-0.001613,0.0,3.5049,,play.google.com,,,1775036737.125,1775036737.122
10.0.2.15:34931-192.168.1.1:53-UDP,192.168.1.1,10.0.2.15,53,34931,UDP,DNS,DNS,False,-0.003009,1,1,2,86,114,200,2000000000.0,200000000000.0,100,19.8,-0.001504,0.0,3.5924,,play.google.com,,,1775036737.125,1775036737.122
10.0.2.15:56106-172.217.174.238:443-UDP,10.0.2.15,172.217.174.238,56106,443,UDP,HTTPS,HTTPS,False,9.736627,28,26,54,27525,8138,35663,5.5461,3662.7674,660.43,584.11,0.180308,9.187184,6.307,,,,,1775036737.153,1775036746.89
10.0.2.15:39609-172.217.174.238:443-UDP,10.0.2.15,172.217.174.238,39609,443,UDP,HTTPS,HTTPS,False,0.11598,7,13,20,5408,5824,11232,172.4435,96844.2835,561.6,568.97,0.005799,0.045421,5.885,,,,,1775036737.249,1775036737.365
10.0.2.15:55712-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,55712,53,UDP,DNS,DNS,False,0.005068,1,1,2,90,106,196,394.633,38674.0331,98,11.31,0.002534,0.005068,3.6695,,accounts.google.com,,,1775036741.754,1775036741.759
10.0.2.15:43559-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,43559,53,UDP,DNS,DNS,False,0.005197,1,1,2,90,118,208,384.8374,40023.0902,104,19.8,0.002599,0.005197,3.6742,,accounts.google.com,,,1775036741.755,1775036741.76
10.0.2.15:33213-192.168.1.1:53-UDP,192.168.1.1,10.0.2.15,53,33213,UDP,DNS,DNS,False,-0.004118,1,1,2,90,140,230,2000000000.0,230000000000.0,115,35.36,-0.002059,0.0,3.9472,,accounts.google.com,,,1775036741.765,1775036741.761
10.0.2.15:60642-192.178.211.84:443-TCP,10.0.2.15,192.178.211.84,60642,443,TCP,HTTPS,HTTPS,True,0.214381,12,17,29,6428,5169,11597,135.2732,54095.279,399.9,761.81,0.007392,0.156369,6.6181,SYN|ACK|PSH,,,,1775036741.768,1775036741.982
10.0.2.15:44578-52.168.117.174:443-TCP,10.0.2.15,52.168.117.174,44578,443,TCP,HTTPS,HTTPS,True,0.468787,5,6,11,2780,486,3266,23.4648,6966.9167,296.91,703.95,0.042617,0.211424,6.1174,ACK|PSH,,,,1775036742.603,1775036743.072
10.0.2.15:38517-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,38517,53,UDP,DNS,DNS,False,0.003655,1,1,2,82,160,242,547.1956,66210.6703,121,55.15,0.001827,0.003655,3.8469,,chatgpt.com,,,1775036742.989,1775036742.992
10.0.2.15:55365-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,55365,53,UDP,DNS,DNS,False,0.003898,1,1,2,82,114,196,513.0836,50282.196,98,22.63,0.001949,0.003898,3.3948,,chatgpt.com,,,1775036742.99,1775036742.994
10.0.2.15:51652-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,51652,53,UDP,DNS,DNS,False,0.005498,1,1,2,82,138,220,363.7686,40014.5507,110,39.6,0.002749,0.005498,3.5252,,chatgpt.com,,,1775036742.996,1775036743.002
10.0.2.15:50777-104.18.32.47:443-UDP,10.0.2.15,104.18.32.47,50777,443,UDP,HTTPS,HTTPS,False,6.002611,46,95,141,33820,90035,123855,23.4898,20633.521,878.4,516.58,0.042572,3.121202,6.9401,,,,,1775036743.009,1775036749.011
10.0.2.15:48491-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,48491,53,UDP,DNS,DNS,False,0.009027,1,1,2,85,163,248,221.5575,27473.1361,124,55.15,0.004514,0.009027,3.9731,,ab.chatgpt.com,,,1775036743.72,1775036743.729
10.0.2.15:43611-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,43611,53,UDP,DNS,DNS,False,0.004187,1,1,2,85,117,202,477.669,48244.5665,101,22.63,0.002093,0.004187,3.5276,,ab.chatgpt.com,,,1775036743.721,1775036743.726
10.0.2.15:32803-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,32803,53,UDP,DNS,DNS,False,0.003774,1,1,2,85,141,226,529.9417,59883.4128,113,39.6,0.001887,0.003774,3.6348,,ab.chatgpt.com,,,1775036743.722,1775036743.726
10.0.2.15:38723-172.64.155.209:443-UDP,10.0.2.15,172.64.155.209,38723,443,UDP,HTTPS,HTTPS,False,0.046991,6,10,16,4291,7129,11420,340.4907,243025.2602,713.75,577.95,0.002937,0.023597,5.3004,,,,,1775036743.767,1775036743.814
10.0.2.15:55434-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,55434,53,UDP,DNS,DNS,False,1.210567,1,1,2,127,155,282,1.6521,232.9487,141,19.8,0.605283,1.210567,4.5389,,prod-dynamite-prod-01-us-signaler-pa.clients6.google.com,,,1775036744.381,1775036745.592
10.0.2.15:42165-142.251.221.234:443-UDP,10.0.2.15,142.251.221.234,42165,443,UDP,HTTPS,HTTPS,False,1.292769,9,13,22,7676,6743,14419,17.0177,11153.5781,655.41,581.07,0.058762,0.91275,6.3174,,,,,1775036745.151,1775036746.444
10.0.2.15:41357-142.251.221.234:443-UDP,10.0.2.15,142.251.221.234,41357,443,UDP,HTTPS,HTTPS,False,0.344444,9,15,24,4881,9785,14666,69.6775,42578.7646,611.08,561.33,0.014352,0.272849,6.2305,,,,,1775036745.218,1775036745.562
10.0.2.15:44772-142.250.70.42:443-UDP,10.0.2.15,142.250.70.42,44772,443,UDP,HTTPS,HTTPS,False,0.72394,3,2,5,225,147,372,6.9066,513.8547,74.4,3.85,0.144788,0.713947,4.8995,,,,,1775036746.166,1775036746.89
10.0.2.15:41455-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,41455,53,UDP,DNS,DNS,False,0.003667,1,1,2,86,136,222,545.405,60539.9509,111,35.36,0.001834,0.003667,3.8283,,chat.google.com,,,1775036747.072,1775036747.075
10.0.2.15:57517-192.168.1.1:53-UDP,10.0.2.15,192.168.1.1,57517,53,UDP,DNS,DNS,False,0.003852,1,1,2,90,140,230,519.2108,59709.242,115,35.36,0.001926,0.003852,3.9472,,accounts.google.com,,,1775036748.826,1775036748.83
10.0.2.15:60654-192.178.211.84:443-TCP,10.0.2.15,192.178.211.84,60654,443,TCP,HTTPS,HTTPS,True,0.18957,28,49,77,4075,58657,62732,406.1824,330917.3392,814.7,703.03,0.002462,0.099771,7.6232,SYN|ACK|PSH,,,,1775036748.833,1775036749.023
